,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,أحرجتنى,1,48a1eiJrtnJvUbLkZZpCBZ,أحرجتنى,spotify:track:48a1eiJrtnJvUbLkZZpCBZ,0.697,0.549,0.305,0,0.108,-14.882,0.0341,144.076,0.629,20
1,أحرجتنى,2,7xEoUPYht1B9WRaCt622N8,فى خاطرى شىء,spotify:track:7xEoUPYht1B9WRaCt622N8,0.608,0.438,0.29,0.000852,0.135,-16.633,0.0428,158.635,0.478,10
2,أحرجتنى,3,1fOoW6LJsXDwNkTlvwTlkq,خطوة عزيزة,spotify:track:1fOoW6LJsXDwNkTlvwTlkq,0.674,0.539,0.247,0,0.338,-16.479,0.0339,145.865,0.668,9
3,أحرجتنى,4,2wdH8EWrDsntvBYmno1xVm,يا ساهر الليل,spotify:track:2wdH8EWrDsntvBYmno1xVm,0.83,0.274,0.183,0.000462,0.116,-18.411,0.0468,181.397,0.362,11
4,أحرجتنى,5,5sGCytl6ilk066Mx7BEE7f,موسيقى طلال,spotify:track:5sGCytl6ilk066Mx7BEE7f,0.698,0.411,0.242,0.93,0.141,-20.123,0.0349,158.73,0.606,9
5,جتنى تقول,1,08UvY8ASoyE75SktznXx3d,جتنى تقول,spotify:track:08UvY8ASoyE75SktznXx3d,0.603,0.502,0.339,0,0.175,-12.487,0.0402,151.244,0.611,15
6,جتنى تقول,2,5nJy2h0AOPB7oqF5eFjtoz,فينا واحد,spotify:track:5nJy2h0AOPB7oqF5eFjtoz,0.592,0.367,0.399,0,0.112,-12.765,0.0451,87.764,0.636,9
7,جتنى تقول,3,4rHxJshDkRp9diCjROyBzA,خلنى أمر,spotify:track:4rHxJshDkRp9diCjROyBzA,0.689,0.558,0.392,0,0.64,-12.364,0.0321,142.067,0.589,8
8,جتنى تقول,4,0qOu9BLf3BDClvA5WYb1Kk,ليه يا دنيا,spotify:track:0qOu9BLf3BDClvA5WYb1Kk,0.685,0.503,0.443,2.38e-06,0.145,-12.365,0.0356,148.291,0.507,7
9,رفعت الصوت,1,4bwOL2HB2S8IsmFuBc7ZcJ,رفعت الصوت,spotify:track:4bwOL2HB2S8IsmFuBc7ZcJ,0.532,0.597,0.445,0,0.312,-10.865,0.0355,154.918,0.935,8
10,رفعت الصوت,2,5MKUtAgeTEWxhPwjOeOBZq,إلولع غنى,spotify:track:5MKUtAgeTEWxhPwjOeOBZq,0.527,0.497,0.464,0,0.294,-10.349,0.0342,151.101,0.848,7
11,رفعت الصوت,3,3z0yC6ljoR5lmWH83rJ7sV,لا تقول إن الليالى,spotify:track:3z0yC6ljoR5lmWH83rJ7sV,0.586,0.498,0.36,0,0.303,-10.741,0.0291,159.943,0.671,7
12,رفعت الصوت,4,0hQVB7iAPC63eYsz0wb8v8,هلت دموع السما,spotify:track:0hQVB7iAPC63eYsz0wb8v8,0.191,0.404,0.464,0.000732,0.187,-11.477,0.0368,174.475,0.694,5
13,رفعت الصوت,5,35W4j8XFnzNUIUHQkLIINm,ياعل قلبا,spotify:track:35W4j8XFnzNUIUHQkLIINm,0.688,0.534,0.391,0,0.672,-10.738,0.0322,143.172,0.619,7
14,رفعت الصوت,6,1B0EHpGAfH4gjrT2ylMGR4,يا قديم الغوص,spotify:track:1B0EHpGAfH4gjrT2ylMGR4,0.629,0.546,0.481,0,0.191,-10.316,0.0379,158.481,0.82,5
15,سيدى قم,1,2pymJTGHHvJQKfAs5dekra,سيدى قم,spotify:track:2pymJTGHHvJQKfAs5dekra,0.611,0.389,0.404,0.00054,0.322,-11.791,0.0348,155.461,0.612,10
16,سيدى قم,2,3YuCWSFaB5atpW0ZFNSXdm,مدام معايا القمر,spotify:track:3YuCWSFaB5atpW0ZFNSXdm,0.759,0.479,0.49,0.000142,0.392,-12.863,0.0376,96.192,0.749,8
17,سيدى قم,3,2EzlH7fk8nuJX8nOvCMBDj,لو ما أحبك,spotify:track:2EzlH7fk8nuJX8nOvCMBDj,0.668,0.458,0.431,0.000286,0.271,-11.45,0.0303,138.793,0.557,10
18,سيدى قم,4,3IWJevGxKPok73Z2dMgW2w,ألا ياخلى ساعدنى,spotify:track:3IWJevGxKPok73Z2dMgW2w,0.723,0.435,0.292,0,0.158,-13.146,0.0369,148.888,0.337,6
19,سيدى قم,5,0gFOa34EnMd3zoGu5SQln7,يا خطر,spotify:track:0gFOa34EnMd3zoGu5SQln7,0.731,0.589,0.285,1.22e-06,0.201,-14.219,0.0268,94.418,0.684,4
20,سيدى قم,6,3zaKzLT84Uo4RrfwWhkAlR,خليجية,spotify:track:3zaKzLT84Uo4RrfwWhkAlR,0.802,0.369,0.27,0,0.489,-14.253,0.108,163.624,0.512,4
21,صابرين,1,57oqz51OF0jVDdIF7AHp50,صابرين,spotify:track:57oqz51OF0jVDdIF7AHp50,0.799,0.321,0.278,0.000318,0.185,-11.78,0.036,95.669,0.316,8
22,صابرين,2,6H5zNAdPtlvXaqXjfO4fvC,تصدق,spotify:track:6H5zNAdPtlvXaqXjfO4fvC,0.383,0.403,0.274,2.35e-05,0.786,-13.703,0.0356,80.852,0.519,25
23,صابرين,3,2KBBIlwZrb7geFr0aBZ4mg,إنى مستهام,spotify:track:2KBBIlwZrb7geFr0aBZ4mg,0.642,0.593,0.53,0.000233,0.274,-10.069,0.0367,107.528,0.842,7
24,صابرين,4,390h6aICnETYltl3Z8az9G,ما درى وش بلانى,spotify:track:390h6aICnETYltl3Z8az9G,0.412,0.339,0.492,2.2e-05,0.158,-12.056,0.0544,156.732,0.594,6
25,صابرين,5,0GYqrPtAWwJ4NyCtn1ILE8,لا تشد القيد,spotify:track:0GYqrPtAWwJ4NyCtn1ILE8,0.899,0.278,0.226,0.0591,0.284,-12.952,0.0433,173.576,0.291,6
26,صابرين,6,2PoCu06r1P1Tnh8pH9lEs7,يا ساريه,spotify:track:2PoCu06r1P1Tnh8pH9lEs7,0.387,0.396,0.322,1.27e-06,0.309,-13.493,0.0365,108.362,0.468,12
27,مرت,1,6XTlffHCSFnd21DQKaIW8x,مرت,spotify:track:6XTlffHCSFnd21DQKaIW8x,0.78,0.326,0.327,0.0829,0.108,-14.958,0.0408,152.37,0.449,25
28,مرت,2,7dvEjdFXlqpnyCw4xgkvqn,مر الزمان,spotify:track:7dvEjdFXlqpnyCw4xgkvqn,0.92,0.338,0.148,0.173,0.372,-18.844,0.0394,135.191,0.257,15
