album_name,song_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
أحرجتنى,أحرجتنى,0.6970000000000001,0.5489999999999999,0.305,0.0,0.10800000000000001,-14.882,0.0341,144.076,0.629,20
أحرجتنى,فى خاطرى شىء,0.608,0.43799999999999994,0.29,0.000852,0.135,-16.633,0.0428,158.635,0.478,10
أحرجتنى,خطوة عزيزة,0.674,0.539,0.247,0.0,0.33799999999999997,-16.479,0.0339,145.865,0.6679999999999999,9
أحرجتنى,يا ساهر الليل,0.83,0.27399999999999997,0.183,0.000462,0.11599999999999999,-18.410999999999998,0.0468,181.39700000000002,0.36200000000000004,11
أحرجتنى,موسيقى طلال,0.698,0.41100000000000003,0.242,0.93,0.141,-20.123,0.0349,158.73,0.606,9
جتنى تقول,جتنى تقول,0.603,0.502,0.33899999999999997,0.0,0.175,-12.487,0.0402,151.244,0.611,15
جتنى تقول,فينا واحد,0.5920000000000001,0.36700000000000005,0.39899999999999997,0.0,0.11199999999999999,-12.765,0.0451,87.764,0.636,9
جتنى تقول,خلنى أمر,0.6890000000000001,0.5579999999999999,0.392,0.0,0.64,-12.364,0.0321,142.067,0.589,8
جتنى تقول,ليه يا دنيا,0.685,0.503,0.44299999999999995,2.38e-06,0.145,-12.365,0.0356,148.291,0.507,7
رفعت الصوت,رفعت الصوت,0.532,0.597,0.445,0.0,0.312,-10.865,0.0355,154.918,0.935,8
رفعت الصوت,إلولع غنى,0.527,0.49700000000000005,0.46399999999999997,0.0,0.294,-10.349,0.0342,151.101,0.848,7
رفعت الصوت,لا تقول إن الليالى,0.586,0.498,0.36,0.0,0.303,-10.741,0.0291,159.94299999999998,0.6709999999999999,7
رفعت الصوت,هلت دموع السما,0.191,0.40399999999999997,0.46399999999999997,0.000732,0.187,-11.477,0.0368,174.475,0.6940000000000001,5
رفعت الصوت,ياعل قلبا,0.688,0.534,0.391,0.0,0.672,-10.738,0.0322,143.172,0.619,7
رفعت الصوت,يا قديم الغوص,0.629,0.546,0.48100000000000004,0.0,0.191,-10.315999999999999,0.0379,158.481,0.82,5
سيدى قم,سيدى قم,0.611,0.389,0.40399999999999997,0.00054,0.322,-11.790999999999999,0.0348,155.461,0.612,10
سيدى قم,مدام معايا القمر,0.759,0.479,0.49,0.00014199999999999998,0.392,-12.863,0.0376,96.19200000000001,0.7490000000000001,8
سيدى قم,لو ما أحبك,0.6679999999999999,0.45799999999999996,0.431,0.000286,0.271,-11.45,0.0303,138.793,0.557,10
سيدى قم,ألا ياخلى ساعدنى,0.723,0.435,0.292,0.0,0.158,-13.145999999999999,0.0369,148.888,0.337,6
سيدى قم,يا خطر,0.731,0.589,0.285,1.22e-06,0.201,-14.219000000000001,0.0268,94.41799999999999,0.684,4
سيدى قم,خليجية,0.802,0.369,0.27,0.0,0.489,-14.253,0.10800000000000001,163.624,0.512,4
صابرين,صابرين,0.799,0.321,0.278,0.00031800000000000003,0.185,-11.78,0.036000000000000004,95.669,0.316,8
صابرين,تصدق,0.38299999999999995,0.40299999999999997,0.27399999999999997,2.35e-05,0.7859999999999999,-13.703,0.0356,80.852,0.519,25
صابرين,إنى مستهام,0.642,0.593,0.53,0.000233,0.27399999999999997,-10.068999999999999,0.0367,107.52799999999999,0.8420000000000001,7
صابرين,ما درى وش بلانى,0.41200000000000003,0.33899999999999997,0.49200000000000005,2.2e-05,0.158,-12.056,0.0544,156.732,0.594,6
صابرين,لا تشد القيد,0.899,0.278,0.226,0.0591,0.284,-12.952,0.0433,173.576,0.29100000000000004,6
صابرين,يا ساريه,0.387,0.396,0.322,1.27e-06,0.309,-13.493,0.0365,108.36200000000001,0.46799999999999997,12
مرت,مرت,0.78,0.326,0.327,0.0829,0.10800000000000001,-14.958,0.0408,152.37,0.449,25
مرت,مر الزمان,0.92,0.33799999999999997,0.14800000000000002,0.17300000000000001,0.37200000000000005,-18.844,0.0394,135.191,0.257,15
مرت,وقفى,0.907,0.29100000000000004,0.0931,7.609999999999999e-05,0.14300000000000002,-19.459,0.0397,136.165,0.0999,7
مرت,إشتكيتك للقمر,0.564,0.442,0.223,0.247,0.27,-16.534000000000002,0.0329,125.72200000000001,0.42200000000000004,11
مرت,إلشوفه معزوزه,0.7509999999999999,0.455,0.235,0.000638,0.379,-17.269000000000002,0.0403,140.917,0.5670000000000001,7
مرت,خزيت القلم,0.843,0.327,0.22399999999999998,0.000183,0.597,-17.288,0.0467,67.822,0.5329999999999999,7
وعدك متى,وعدك متى,0.741,0.313,0.33,0.0,0.22699999999999998,-8.793,0.0314,142.135,0.294,15
وعدك متى,أعترفلك,0.415,0.29100000000000004,0.32299999999999995,0.000261,0.10300000000000001,-11.568,0.0343,149.232,0.431,9
وعدك متى,خلصت القصه,0.6609999999999999,0.307,0.295,0.00298,0.109,-13.649000000000001,0.0336,137.84799999999998,0.225,10
وعدك متى,علشانه,0.34600000000000003,0.46,0.39799999999999996,4.39e-05,0.5770000000000001,-12.112,0.0694,95.645,0.48700000000000004,7
أحلى ما غنى طلال المداح,سويعات الأصيل,0.805,0.5329999999999999,0.225,0.0,0.213,-14.427,0.0445,148.032,0.767,12
أحلى ما غنى طلال المداح,حبك سباني,0.8140000000000001,0.5,0.307,0.0,0.307,-14.299000000000001,0.0415,80.71300000000001,0.856,9
أحلى ما غنى طلال المداح,إنتظارى طال,0.855,0.461,0.23800000000000002,0.0,0.318,-14.258,0.0657,73.683,0.615,16
أحلى ما غنى طلال المداح,العرضة البدوية,0.655,0.327,0.23800000000000002,1.16e-06,0.583,-13.925999999999998,0.0851,174.12099999999998,0.515,6
أحلى ما غنى طلال المداح,الله يجازى,0.8170000000000001,0.446,0.23800000000000002,0.0,0.475,-16.07,0.0801,169.503,0.585,8
أحلى ما غنى طلال المداح,هو بدر,0.772,0.547,0.15,0.0,0.24,-16.112000000000002,0.045,129.732,0.44799999999999995,6
أجمل أغانى طلال مداح,سويعات الاصيل,0.8140000000000001,0.531,0.235,0.0,0.19699999999999998,-14.164000000000001,0.0445,149.363,0.7390000000000001,6
أجمل أغانى طلال مداح,ماذا يقول,0.86,0.534,0.25,0.0,0.29,-13.936,0.0606,75.36,0.583,5
أجمل أغانى طلال مداح,حبك سبانى,0.6809999999999999,0.324,0.24600000000000002,0.0,0.5720000000000001,-13.640999999999998,0.0837,173.815,0.498,2
أجمل أغانى طلال مداح,انتظارى طال,0.9620000000000001,0.302,0.168,0.0038200000000000005,0.0911,-15.482000000000001,0.034,88.822,0.341,3
مقادير,مقادير,0.9490000000000001,0.275,0.516,0.00139,0.344,-11.026,0.0578,156.207,0.39899999999999997,17
